Date,total_percentage,close,open,high,low,volume
2023-06-26,566.1935082737181,33714.7109375,33730.7890625,33819.48828125,33610.3203125,265330000
2023-06-27,639.2886048464434,33926.73828125,33739.03125,33975.6484375,33730.390625,293210000
2023-06-28,627.0475309279501,33852.66015625,33881.37890625,33903.76171875,33755.921875,268050000
2023-06-29,683.5876761264055,34122.421875,33854.5703125,34147.6796875,33828.62890625,279940000
2023-06-30,729.2702417142749,34407.6015625,34269.921875,34467.3515625,34269.921875,351060000
2023-07-03,766.4978219536159,34418.46875,34369.78125,34465.6015625,34286.5390625,157590000
2023-07-05,761.1396344831545,34288.640625,34344.71875,34376.109375,34226.98046875,274570000
2023-07-06,679.7994485849362,33922.26171875,34171.390625,34171.390625,33771.46875,293840000
2023-07-07,712.6795813457193,33734.87890625,33837.0703125,34036.37890625,33716.75,272730000
2023-07-10,734.6678836632758,33944.3984375,33705.6796875,33958.359375,33705.6796875,299200000
2023-07-11,816.4900899735464,34261.421875,34056.94140625,34288.87109375,33993.01171875,278940000
2023-07-12,851.1364963080464,34347.4296875,34395.28125,34586.94140625,34308.78125,331410000
2023-07-13,874.4235892050651,34395.140625,34412.30859375,34482.26171875,34365.328125,267180000
2023-07-14,851.7592542558651,34509.03125,34425.328125,34592.26171875,34425.328125,293540000
2023-07-17,798.862259992266,34585.3515625,34499.73828125,34665.1484375,34418.71875,359780000
2023-07-18,823.3557176302556,34951.9296875,34597.078125,34986.359375,34530.609375,385940000
2023-07-19,857.7106068919373,35061.2109375,34991.2109375,35234.05078125,34991.2109375,365130000
2023-07-20,913.3619782186704,35225.1796875,35091.98046875,35372.76953125,35091.98046875,340880000
2023-07-21,942.3646918365376,35227.69140625,35274.3203125,35340.66015625,35186.05078125,465270000
2023-07-24,946.3386778289952,35411.23828125,35230.7890625,35463.96875,35230.7890625,284460000
2023-07-25,942.0103136133068,35438.0703125,35421.48828125,35527.5703125,35365.26171875,299530000
2023-07-26,931.3215659724118,35520.12109375,35345.98828125,35633.609375,35306.26953125,346240000
2023-07-27,872.2350099631669,35282.71875,35558.7890625,35645.3515625,35216.578125,352230000
2023-07-28,887.2330977941102,35459.2890625,35443.48828125,35565.51171875,35355.1484375,369000000
2023-07-31,888.0194537861775,35559.53125,35465.96875,35566.94921875,35430.21875,327410000
2023-08-01,844.5532386647535,35630.6796875,35585.98828125,35679.12890625,35526.609375,259490000
2023-08-02,801.196703992507,35282.51953125,35551.921875,35551.921875,35226.26171875,298570000
